userAddress,genesisCount,nftId
0x7ebfbc27de409cc3,2,"25987,29626"
0x7ee99506882b9313,1,30761
0x7f191dbd5b466e32,1,26437
0x3e90ca2d3ecbd596,1,17252
0x801aa54df240b1f8,18,"15651,22724,24134,24976,27410,27456,27460,27678,28649,28707,28803,28814,28865,29545,29827,30075,30100,30110"
0x807f61682afa8922,1,25579
0x80c33325bab1f25e,2,"14980,26868"
0x831c1db9960a1c5a,1,21835
0x8339ada95ce9391b,1,31081
0x54317e5b3f7a2b4e,1,26844
0x83821eb5ea7e0bee,1,26787
0x83b48aee894f6a2e,1,18367
0x840f94f26078c14e,1,26818
0x8427114b497f3904,1,25365
0x84e3a7178ccc7a0b,1,20227
0x855c7d808af5128d,1,26813
0x868834ce5c9fcec1,1,14556
0x87057ee928d8e36d,1,26010
0x886eaf7882233330,1,22257
0x89a1b0f13ae0344d,1,30768
0x89b499ecce4df641,1,26440
0x89f558c2c87ae44d,1,26849
0x8a35fa8128740979,2,"15339,26428"
0x8ac15e91672430b5,1,26013
0x5bc27dace3fd252f,1,20255
0x8b9a5712c4742391,1,26014
0x8c3279d63b27fec2,1,18240
0x8d3d1516f5c70935,1,26022
0x8ec5d4a40a8334fb,1,28990
0x8efe1e611faf2ade,1,29871
0x9028fb8c06dcef74,1,13737
0x90363e02bc0d82be,1,26378
0x9080d4b0ba8e376e,2,"18071,26705"
0x90fe6c44212c25bc,1,15707
0x9172f72fb565e6ec,2,"19533,30514"
0x92a2389a8cf3691c,2,"20651,28129"
0x934820f767257131,1,26565
0x9405d8072df6cd7c,1,25531
0x943bdaa73c33c125,1,26839
0x94a5c35973e6f63b,2,"29867,30163"
0x973948aff05c741d,1,25695
0x9798584f69ca9004,1,15481
0x97d45183039d6ff3,1,20342
0x9821452feabc104f,2,"15830,29932"
0x996d9046937b026d,1,27579
0x99c622abaf840872,1,20278
0x99e6938f3fb9c49f,1,23935
0x9a04c3ea15c84dc0,1,21306
0x9a3062464ceafe02,12,"17278,17327,17711,17814,18484,18573,18623,18635,18647,18677,18688,19170"
0x9adf2aca7158d685,3,"14563,27119,28755"
0x9cae6fb40d99da50,1,17706
0x9d5072c37d68de7d,2,"26569,27580"
0x9d830b29408b81fc,1,23982
0x9d9bf6ea9b18f006,1,26510
0x9da3cac99b609ec8,1,26821
0x9ef88d0be1e19dbe,1,26058
0x9ff349d822efd27f,1,26858
0xa23113329edd6b43,1,26758
0xa253bb36ff912ec3,1,26464
0xa30c76a102dfdfff,1,27719
0xa3375442913745ff,1,26860
0xa4824fdfea662cd0,1,23396
0xa4a0d1fe73e91295,2,"23910,23928"
0xa59a7d1a5bda7a8d,1,30044
0xa6ce2f14aa9415dd,1,21284
0xa6f5ae901f3c877e,1,26075
0xa9600f1664d72d97,1,26850
0xaa0e69786f270809,2,"26635,27317"
0xaa49b0926657ffa7,2,"17624,25074"
0xaa91e2249c9031d2,1,25296
0x7b66847e9bc37379,1,25983
0xab334654e557b654,1,26083
0xab970f62ff24fd15,1,26852
0xacf2ba847431c4a5,1,16988
0xacfc77aa0e967b5d,2,"20069,20497"
0xadc55d93235f678d,1,26854
0xae3274598328d16f,1,30679
0xae3838bcd07ac5eb,1,14339
0xb0a0b1d8e7e6d005,1,26796
0x6dc7ed7bf72940d3,2,"14289,25959"
0xb0fe08ccb386cceb,1,26333
0xb149589c841597f9,1,26500
0xb14d7acfd0d8e3dc,1,30687
0xb20786780ebe43a8,2,"23685,30342"
0xb2a96223d03da56a,1,14325
0xb2b26807f374f5e6,4,"16484,16563,18563,19501"
0xb495c296bd08994c,1,17689
0x8378845e876278c8,1,22720
0xb55f1cd41044b16f,1,26537
0xb5fcc3b8fa4c4f44,1,29942
0xb7cfb25f2d54e2fb,1,23538
0xb82ab2901c25c682,1,26865
0xb8f937cf18b42f94,1,21299
0xb971a7d0a7535c51,1,29958
0xba330d634490574e,4,"14549,14905,16007,21639"
0xba4df78735a823c2,1,27871
0xba547f5fee7c4ca7,1,30458
0xbacbfa9dcaa4b09e,1,22812
0xbb62cbebfcd7a1df,1,18519
0xbda5767a49dc54cf,1,14890
0xbe49e361be9ad92d,1,15834
0xbf11795211700a14,5,"22513,22518,27517,27699,27704"
0xc0a583b6f28dae40,1,26130
0xc0e3848f2112236d,1,26127
0xc2ad0311dbeb4285,5,"29176,29202,29319,29402,29424"
0xc2d8978941643963,1,26135
0x7f7a261a6be674ea,5,"21415,21534,21863,21896,21930"
0xc34a908f5b498090,1,26820
0xc4e3e277db3e87ec,1,27582
0xc515d1907a2c4036,2,"16046,21172"
0xc5dc677e6046448f,1,21421
0xc69110aee08b5e01,1,19573
0xc6bc24e7ccad8d36,1,18474
0xc73f7683df24babf,1,26864
